2801005,2800605,氷川台,,,28010,13,179-0084,東京都練馬区氷川台三丁目38-18,139.665567,35.74955,0000-00-00,0000-00-00,0,2801005
2801006,2200301,小竹向原,,,28010,13,176-0004,東京都練馬区小竹町二丁目16-15,139.678572,35.743803,0000-00-00,0000-00-00,0,2801006
2801007,2800607,千川,,,28010,13,171-0043,東京都豊島区要町三丁目10-7,139.689271,35.738229,0000-00-00,0000-00-00,0,2801007
2801008,2800608,要町,,,28010,13,171-0043,東京都豊島区要町一丁目1-10,139.698715,35.73323,0000-00-00,0000-00-00,0,2801008
2801009,1130212,池袋,,,28010,13,171-0022,東京都豊島区南池袋一丁目28-1,139.708291,35.731464,0000-00-00,0000-00-00,0,2801009
2801010,2801010,雑司が谷,,,28010,13,171-0032,豊島区雑司が谷二丁目,139.714795,35.720233,0000-00-00,0000-00-00,0,2801010
2801011,2801011,西早稲田,,,28010,13,162-0051,新宿区西早稲田二丁目,139.709101,35.708242,0000-00-00,0000-00-00,0,2801011
2801012,2801012,東新宿,,,28010,13,160-0022,新宿区新宿７-２７-３,139.707593,35.698915,0000-00-00,0000-00-00,0,2801012
2801013,2800217,新宿三丁目,,,28010,13,160-0022,新宿区新宿３-１４-１,139.704828,35.690853,0000-00-00,0000-00-00,0,2801013
2801014,2801014,北参道,,,28010,13,151-0051,渋谷区千駄ヶ谷４丁目,139.705453,35.678459,0000-00-00,0000-00-00,0,2801014
2801015,1130206,明治神宮前〈原宿〉,,,28010,13,150-0001,渋谷区神宮前１丁目,139.705367,35.668497,0000-00-00,0000-00-00,0,2801015
2801016,1130205,渋谷,,,28010,13,150-0043,東京都渋谷区道玄坂二丁目1-1,139.702417,35.659545,0000-00-00,0000-00-00,0,2801016
9930101,9930101,都庁前,,,99301,13,160-0023,新宿区西新宿２-８-１,139.69257,35.690551,0000-00-00,0000-00-00,0,9930101
9930102,9930102,新宿西口,,,99301,13,160-0023,新宿区西新宿１-３-１７,139.699155,35.693315,0000-00-00,0000-00-00,0,9930102
9930103,2801012,東新宿,,,99301,13,160-0022,新宿区新宿７-２７-３,139.707549,35.69792,0000-00-00,0000-00-00,0,9930103
9930104,9930104,若松河田,,,99301,13,162-0054,新宿区河田町１０-１０,139.718184,35.699218,0000-00-00,0000-00-00,0,9930104
9930105,9930105,牛込柳町,,,99301,13,162-0053,新宿区原町２-３２,139.725027,35.699518,0000-00-00,0000-00-00,0,9930105
9930106,9930106,牛込神楽坂,,,99301,13,162-0833,新宿区箪笥町１５,139.735802,35.700851,0000-00-00,0000-00-00,0,9930106
9930107,1131316,飯田橋,,,99301,13,112-0004,東京都文京区後楽一丁目9-5,139.744999,35.702927,0000-00-00,0000-00-00,0,9930107
9930108,9930108,春日,,,99301,13,112-0003,文京区春日１-１６-１７,139.75325,35.709598,0000-00-00,0000-00-00,0,9930108
9930109,2800205,本郷三丁目,,,99301,13,113-0033,文京区本郷２-３９-１,139.760095,35.707462,0000-00-00,0000-00-00,0,9930109
9930110,1130221,上野御徒町,,,99301,13,110-0005,台東区上野５-２６-６,139.774332,35.707893,0000-00-00,0000-00-00,0,9930110
9930111,9930111,新御徒町,,,99301,13,111-0041,台東区元浅草１-５-２,139.781958,35.707045,0000-00-00,0000-00-00,0,9930111
9930112,9930112,蔵前,,,99301,13,111-0051,台東区蔵前２-３-１,139.790931,35.703236,0000-00-00,0000-00-00,0,9930112
